Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
drive_base,"0,0152719713400001","-0,00612835379242804","-0,0578495169399289",0,0,0,"1,12373660195847","0,000849659334908946","-1,31040126128247E-10","3,03703022546145E-05","0,00222586512261952","6,23818341132998E-11","0,00202629037779116",0,0,0,0,0,0,package://argo_mini_urdf_4w_drive/meshes/drive_base.STL,"0,564705882352941","0,564705882352941","0,564705882352941",1,0,0,0,0,0,0,package://argo_mini_urdf_4w_drive/meshes/drive_base.STL,,korpus_4w_BOK_L_2-1;korpus_4w_BOK_L_3-1;korpus_4w_BOK_L_1-1;Wahacz_mocowanie_silnika_25D-1;Wahacz_mocowanie_silnika_25D-6;korpus_4w_BOK_R_3-1;Wahacz_mocowanie_silnika_25D-3;Wahacz_mocowanie_silnika_25D-5;korpus_4w_BOK_R_1-1;korpus_4w_BOK_R_2-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_wheel_link,"-0,000132976438457597","0,000630157739568461","0,00125637192714737",0,0,0,"0,601298194269932","0,000951626218444299","1,11512381441183E-08","9,61963010405324E-12","0,000951575744829073","5,8752834196995E-12","0,0015537403857902",0,0,0,0,0,0,package://argo_mini_urdf_4w_drive/meshes/front_left_wheel_link.STL,"0,564705882352941","0,564705882352941","0,564705882352941",1,0,0,0,0,0,0,package://argo_mini_urdf_4w_drive/meshes/front_left_wheel_link.STL,,Koło_felga_25D-4;Koło_opona_3D-4,Origin_front_left_wheel,front_left_wheel_a,front_left_wheel,continuous,"0,2025","0,16104","-0,0685","-1,5708",0,0,drive_base,0,0,-1,100,"3,14","-3,14","3,14",,,,,,,,
front_right_wheel_link,"-0,000409063951642849","0,000497441843353711","0,00125636858119882",0,0,0,"0,601298194354885","0,000951606307031463","2,70709025331395E-08","9,95508732509517E-12","0,000951595656669067","6,00917374184981E-12","0,00155374038621557",0,0,0,0,0,0,package://argo_mini_urdf_4w_drive/meshes/front_right_wheel_link.STL,"0,564705882352941","0,564705882352941","0,564705882352941",1,0,0,0,0,0,0,package://argo_mini_urdf_4w_drive/meshes/front_right_wheel_link.STL,,Koło_felga_25D-2;Koło_opona_3D-2,Origin_front_right_wheel,front_right_wheel_a,front_right_wheel,continuous,"0,202500000000013","-0,1732950259003","-0,0684999999999914","1,5707963267949",0,0,drive_base,0,0,-1,100,"3,14","-3,14","3,14",,,,,,,,
rear_left_wheel_link,"0,000145821226877896","-0,000627309998393347","0,00125637187842703",0,0,0,"0,601298192573004","0,000951625740098845","1,21706158348498E-08","-1,08675924310358E-11","0,000951576217552071","-5,29249888945555E-12","0,00155374038114748",0,0,0,0,0,0,package://argo_mini_urdf_4w_drive/meshes/rear_left_wheel_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_mini_urdf_4w_drive/meshes/rear_left_wheel_link.STL,,Koło_opona_3D-5;Koło_felga_25D-5,Origin_rear_left_wheel,rear_left_wheel_a,rear_left_wheel,continuous,"-0,1725","0,16104","-0,0685","-1,5708",0,0,drive_base,0,0,-1,100,"3,14","-3,14","3,14",,,,,,,,
rear_right_wheel_link,"0,000643833851625031","-1,61151794025975E-05","0,00125636858288344",0,0,0,"0,601298194117053","0,000951573425928544","1,37609171340335E-09","-2,21436190316298E-12","0,000951628537037624","-1,12199423306577E-11","0,00155374038543561",0,0,0,0,0,0,package://argo_mini_urdf_4w_drive/meshes/rear_right_wheel_link.STL,"0,564705882352941","0,564705882352941","0,564705882352941",1,0,0,0,0,0,0,package://argo_mini_urdf_4w_drive/meshes/rear_right_wheel_link.STL,,Koło_felga_25D-3;Koło_opona_3D-3,Origin_rear_right_wheel,rear_right_wheel_a,rear_right_wheel,revolute,"-0,1725","-0,1733","-0,0685","1,5708",0,0,drive_base,0,0,-1,100,"3,14","-3,14","3,14",,,,,,,,
